[9.178s][info][gc,phases    ] GC(16)   Post Evacuate Collection Set: 0.5ms
[9.178s][info][gc,phases    ] GC(16)   Other: 0.5ms
[9.178s][info][gc,heap      ] GC(16) Eden regions: 1145->0(1141)
[9.178s][info][gc,heap      ] GC(16) Survivor regions: 83->87(154)
[9.178s][info][gc,heap      ] GC(16) Old regions: 54->66
[9.178s][info][gc,heap      ] GC(16) Humongous regions: 82->38
[9.178s][info][gc,metaspace ] GC(16) Metaspace: 7317K(7680K)->7317K(7680K) NonClass: 6679K(6912K)->6679K(6912K) Class: 638K(768K)->638K(768K)
[9.178s][info][gc           ] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 1363M->190M(2048M) 25.012ms
[9.178s][info][gc,cpu       ] GC(16) User=0.41s Sys=0.00s Real=0.03s
[10.248s][info][gc,start     ] GC(17) Pause Young (Normal) (G1 Evacuation Pause)
[10.248s][info][gc,task      ] GC(17) Using 13 workers of 13 for evacuation
[10.271s][info][gc,phases    ] GC(17)   Pre Evacuate Collection Set: 0.0ms
[10.271s][info][gc,phases    ] GC(17)   Evacuate Collection Set: 21.8ms
[10.271s][info][gc,phases    ] GC(17)   Post Evacuate Collection Set: 0.6ms
[10.271s][info][gc,phases    ] GC(17)   Other: 0.4ms
[10.271s][info][gc,heap      ] GC(17) Eden regions: 1141->0(1139)
[10.271s][info][gc,heap      ] GC(17) Survivor regions: 87->89(154)
[10.271s][info][gc,heap      ] GC(17) Old regions: 66->79
[10.271s][info][gc,heap      ] GC(17) Humongous regions: 104->37
[10.271s][info][gc,metaspace ] GC(17) Metaspace: 7317K(7680K)->7317K(7680K) NonClass: 6679K(6912K)->6679K(6912K) Class: 638K(768K)->638K(768K)
[10.271s][info][gc           ] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 1397M->203M(2048M) 22.973ms
[10.271s][info][gc,cpu       ] GC(17) User=0.39s Sys=0.00s Real=0.02s
[11.365s][info][gc,start     ] GC(18) Pause Young (Normal) (G1 Evacuation Pause)
[11.365s][info][gc,task      ] GC(18) Using 13 workers of 13 for evacuation
[11.390s][info][gc,phases    ] GC(18)   Pre Evacuate Collection Set: 0.0ms
[11.390s][info][gc,phases    ] GC(18)   Evacuate Collection Set: 23.5ms
[11.390s][info][gc,phases    ] GC(18)   Post Evacuate Collection Set: 0.6ms
[11.390s][info][gc,phases    ] GC(18)   Other: 0.5ms
[11.390s][info][gc,heap      ] GC(18) Eden regions: 1139->0(1141)
[11.390s][info][gc,heap      ] GC(18) Survivor regions: 89->87(154)
[11.390s][info][gc,heap      ] GC(18) Old regions: 79->95
[11.390s][info][gc,heap      ] GC(18) Humongous regions: 97->37
[11.390s][info][gc,metaspace ] GC(18) Metaspace: 7318K(7680K)->7318K(7680K) NonClass: 6680K(6912K)->6680K(6912K) Class: 638K(768K)->638K(768K)
[11.390s][info][gc           ] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 1402M->219M(2048M) 24.673ms
[11.390s][info][gc,cpu       ] GC(18) User=0.20s Sys=0.00s Real=0.02s
