[1.261s][info][gc           ] GC(20) Pause Young (Normal) (G1 Evacuation Pause) 1302M->83M(2130M) 4.166ms
[1.261s][info][gc,cpu       ] GC(20) User=0.17s Sys=0.03s Real=0.00s
[1.302s][info][gc,start     ] GC(21) Pause Young (Normal) (G1 Evacuation Pause)
[1.302s][info][gc,task      ] GC(21) Using 13 workers of 13 for evacuation
[1.306s][info][gc,phases    ] GC(21)   Pre Evacuate Collection Set: 0.0ms
[1.306s][info][gc,phases    ] GC(21)   Evacuate Collection Set: 3.9ms
[1.306s][info][gc,phases    ] GC(21)   Post Evacuate Collection Set: 0.3ms
[1.306s][info][gc,phases    ] GC(21)   Other: 0.1ms
[1.306s][info][gc,heap      ] GC(21) Eden regions: 1218->0(1216)
[1.306s][info][gc,heap      ] GC(21) Survivor regions: 60->62(160)
[1.306s][info][gc,heap      ] GC(21) Old regions: 16->17
[1.306s][info][gc,heap      ] GC(21) Humongous regions: 21->10
[1.306s][info][gc,metaspace ] GC(21) Metaspace: 8206K(8576K)->8206K(8576K) NonClass: 7478K(7680K)->7478K(7680K) Class: 727K(896K)->727K(896K)
[1.306s][info][gc           ] GC(21) Pause Young (Normal) (G1 Evacuation Pause) 1314M->88M(2130M) 4.471ms
[1.306s][info][gc,cpu       ] GC(21) User=0.00s Sys=0.00s Real=0.01s
[1.347s][info][gc,start     ] GC(22) Pause Young (Normal) (G1 Evacuation Pause)
[1.347s][info][gc,task      ] GC(22) Using 13 workers of 13 for evacuation
[1.352s][info][gc,phases    ] GC(22)   Pre Evacuate Collection Set: 0.0ms
[1.352s][info][gc,phases    ] GC(22)   Evacuate Collection Set: 3.5ms
[1.352s][info][gc,phases    ] GC(22)   Post Evacuate Collection Set: 1.1ms
[1.352s][info][gc,phases    ] GC(22)   Other: 0.1ms
[1.352s][info][gc,heap      ] GC(22) Eden regions: 1216->0(1285)
[1.352s][info][gc,heap      ] GC(22) Survivor regions: 62->61(160)
[1.352s][info][gc,heap      ] GC(22) Old regions: 17->18
[1.352s][info][gc,heap      ] GC(22) Humongous regions: 19->11
[1.352s][info][gc,metaspace ] GC(22) Metaspace: 8206K(8576K)->8206K(8576K) NonClass: 7478K(7680K)->7478K(7680K) Class: 727K(896K)->727K(896K)
[1.352s][info][gc           ] GC(22) Pause Young (Normal) (G1 Evacuation Pause) 1313M->89M(2244M) 4.831ms
[1.352s][info][gc,cpu       ] GC(22) User=0.00s Sys=0.00s Real=0.00s
[1.395s][info][gc,start     ] GC(23) Pause Young (Normal) (G1 Evacuation Pause)
[1.395s][info][gc,task      ] GC(23) Using 13 workers of 13 for evacuation
[1.399s][info][gc,phases    ] GC(23)   Pre Evacuate Collection Set: 0.0ms
[1.399s][info][gc,phases    ] GC(23)   Evacuate Collection Set: 3.6ms
[1.399s][info][gc,phases    ] GC(23)   Post Evacuate Collection Set: 0.2ms
[1.399s][info][gc,phases    ] GC(23)   Other: 0.1ms
[1.399s][info][gc,heap      ] GC(23) Eden regions: 1285->0(1287)
[1.399s][info][gc,heap      ] GC(23) Survivor regions: 61->59(169)
[1.399s][info][gc,heap      ] GC(23) Old regions: 18->19
[1.399s][info][gc,heap      ] GC(23) Humongous regions: 13->11
[1.399s][info][gc,metaspace ] GC(23) Metaspace: 8206K(8576K)->8206K(8576K) NonClass: 7478K(7680K)->7478K(7680K) Class: 727K(896K)->727K(896K)
[1.399s][info][gc           ] GC(23) Pause Young (Normal) (G1 Evacuation Pause) 1376M->88M(2244M) 4.075ms
[1.399s][info][gc,cpu       ] GC(23) User=0.00s Sys=0.00s Real=0.00s
[1.441s][info][gc,start     ] GC(24) Pause Young (Normal) (G1 Evacuation Pause)
[1.442s][info][gc,task      ] GC(24) Using 13 workers of 13 for evacuation
[1.446s][info][gc,phases    ] GC(24)   Pre Evacuate Collection Set: 0.0ms
[1.446s][info][gc,phases    ] GC(24)   Evacuate Collection Set: 3.6ms
[1.446s][info][gc,phases    ] GC(24)   Post Evacuate Collection Set: 0.2ms
[1.446s][info][gc,phases    ] GC(24)   Other: 0.1ms
[1.446s][info][gc,heap      ] GC(24) Eden regions: 1287->0(1286)
[1.446s][info][gc,heap      ] GC(24) Survivor regions: 59->60(169)
