[1.458s][info][gc,metaspace] GC(14) Metaspace: 1764K(1856K)->1764K(1856K) NonClass: 1623K(1664K)->1623K(1664K) Class: 140K(192K)->140K(192K)
[1.458s][info][gc          ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 716M->110M(1093M) 8.280ms
[1.458s][info][gc,cpu      ] GC(14) User=0.00s Sys=0.00s Real=0.01s
[1.516s][info][gc,start    ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[1.516s][info][gc,task     ] GC(15) Using 10 workers of 10 for evacuation
[1.523s][info][gc,phases   ] GC(15)   Pre Evacuate Collection Set: 0.2ms
[1.524s][info][gc,phases   ] GC(15)   Merge Heap Roots: 0.1ms
[1.524s][info][gc,phases   ] GC(15)   Evacuate Collection Set: 6.6ms
[1.524s][info][gc,phases   ] GC(15)   Post Evacuate Collection Set: 0.4ms
[1.524s][info][gc,phases   ] GC(15)   Other: 0.1ms
[1.524s][info][gc,heap     ] GC(15) Eden regions: 606->0(604)
[1.524s][info][gc,heap     ] GC(15) Survivor regions: 49->51(82)
[1.524s][info][gc,heap     ] GC(15) Old regions: 54->60
[1.524s][info][gc,heap     ] GC(15) Humongous regions: 10->8
[1.524s][info][gc,metaspace] GC(15) Metaspace: 1767K(1856K)->1767K(1856K) NonClass: 1626K(1664K)->1626K(1664K) Class: 140K(192K)->140K(192K)
[1.524s][info][gc          ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 718M->117M(1093M) 7.702ms
[1.524s][info][gc,cpu      ] GC(15) User=0.02s Sys=0.00s Real=0.01s
[1.582s][info][gc,start    ] GC(16) Pause Young (Normal) (G1 Evacuation Pause)
[1.585s][info][gc,task     ] GC(16) Using 10 workers of 10 for evacuation
[1.599s][info][gc,phases   ] GC(16)   Pre Evacuate Collection Set: 0.4ms
[1.599s][info][gc,phases   ] GC(16)   Merge Heap Roots: 0.3ms
[1.599s][info][gc,phases   ] GC(16)   Evacuate Collection Set: 11.2ms
[1.599s][info][gc,phases   ] GC(16)   Post Evacuate Collection Set: 2.1ms
[1.599s][info][gc,phases   ] GC(16)   Other: 0.3ms
[1.599s][info][gc,heap     ] GC(16) Eden regions: 604->0(668)
[1.600s][info][gc,heap     ] GC(16) Survivor regions: 51->46(82)
[1.600s][info][gc,heap     ] GC(16) Old regions: 60->71
[1.600s][info][gc,heap     ] GC(16) Humongous regions: 11->8
