[1.820s][info][gc,heap      ] GC(13) Eden regions: 710->0(749)
[1.820s][info][gc,heap      ] GC(13) Survivor regions: 96->101(101)
[1.820s][info][gc,heap      ] GC(13) Old regions: 526->657
[1.820s][info][gc,heap      ] GC(13) Humongous regions: 138->54
[1.820s][info][gc,metaspace ] GC(13) Metaspace: 6875K(7168K)->6875K(7168K) NonClass: 6285K(6400K)->6285K(6400K) Class: 589K(768K)->589K(768K)
[1.820s][info][gc           ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 1469M->811M(2267M) 17.806ms
[1.820s][info][gc,cpu       ] GC(13) User=0.05s Sys=0.16s Real=0.02s
[2.115s][info][gc,start     ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[2.115s][info][gc,task      ] GC(14) Using 13 workers of 13 for evacuation
[2.132s][info][gc,phases    ] GC(14)   Pre Evacuate Collection Set: 0.1ms
[2.132s][info][gc,phases    ] GC(14)   Evacuate Collection Set: 16.0ms
[2.132s][info][gc,phases    ] GC(14)   Post Evacuate Collection Set: 0.4ms
[2.132s][info][gc,phases    ] GC(14)   Other: 0.2ms
[2.132s][info][gc,heap      ] GC(14) Eden regions: 749->0(711)
[2.132s][info][gc,heap      ] GC(14) Survivor regions: 101->107(107)
[2.132s][info][gc,heap      ] GC(14) Old regions: 657->796
[2.132s][info][gc,heap      ] GC(14) Humongous regions: 141->63
[2.132s][info][gc,metaspace ] GC(14) Metaspace: 6876K(7168K)->6876K(7168K) NonClass: 6286K(6400K)->6286K(6400K) Class: 589K(768K)->589K(768K)
[2.132s][info][gc           ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 1647M->965M(2267M) 16.796ms
[2.132s][info][gc,cpu       ] GC(14) User=0.03s Sys=0.14s Real=0.02s
[2.391s][info][gc,start     ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[2.391s][info][gc,task      ] GC(15) Using 13 workers of 13 for evacuation
[2.408s][info][gc,phases    ] GC(15)   Pre Evacuate Collection Set: 0.1ms
[2.408s][info][gc,phases    ] GC(15)   Evacuate Collection Set: 16.2ms
[2.408s][info][gc,phases    ] GC(15)   Post Evacuate Collection Set: 0.4ms
[2.408s][info][gc,phases    ] GC(15)   Other: 0.2ms
[2.408s][info][gc,heap      ] GC(15) Eden regions: 711->0(622)
[2.408s][info][gc,heap      ] GC(15) Survivor regions: 107->103(103)
[2.408s][info][gc,heap      ] GC(15) Old regions: 796->938
[2.408s][info][gc,heap      ] GC(15) Humongous regions: 150->76
[2.408s][info][gc,metaspace ] GC(15) Metaspace: 6876K(7168K)->6876K(7168K) NonClass: 6286K(6400K)->6286K(6400K) Class: 589K(768K)->589K(768K)
[2.408s][info][gc           ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 1763M->1116M(2267M) 16.903ms
[2.408s][info][gc,cpu       ] GC(15) User=0.05s Sys=0.14s Real=0.02s
[2.430s][info][gc,start     ] GC(16) Pause Young (Concurrent Start) (G1 Humongous Allocation)
[2.430s][info][gc,task      ] GC(16) Using 13 workers of 13 for evacuation
[2.438s][info][gc,phases    ] GC(16)   Pre Evacuate Collection Set: 0.1ms
[2.439s][info][gc,phases    ] GC(16)   Evacuate Collection Set: 7.7ms
[2.439s][info][gc,phases    ] GC(16)   Post Evacuate Collection Set: 0.2ms
[2.439s][info][gc,phases    ] GC(16)   Other: 0.2ms
[2.439s][info][gc,heap      ] GC(16) Eden regions: 68->0(420)
[2.439s][info][gc,heap      ] GC(16) Survivor regions: 103->13(91)
[2.439s][info][gc,heap      ] GC(16) Old regions: 938->1043
