[2.438s][info][gc,marking    ] GC(19) Concurrent Rebuild Remembered Sets
[2.439s][info][gc,marking    ] GC(19) Concurrent Rebuild Remembered Sets 1.107ms
[2.439s][info][gc,start      ] GC(19) Pause Cleanup
[2.439s][info][gc            ] GC(19) Pause Cleanup 1198M->1198M(2282M) 0.205ms
[2.439s][info][gc,cpu        ] GC(19) User=0.00s Sys=0.00s Real=0.00s
[2.439s][info][gc,marking    ] GC(19) Concurrent Cleanup for Next Mark
[2.440s][info][gc,marking    ] GC(19) Concurrent Cleanup for Next Mark 0.936ms
[2.440s][info][gc            ] GC(19) Concurrent Cycle 4.996ms
[2.440s][info][gc,start      ] GC(20) Pause Young (Concurrent Start) (G1 Humongous Allocation)
[2.440s][info][gc,task       ] GC(20) Using 13 workers of 13 for evacuation
[2.441s][info][gc,phases     ] GC(20)   Pre Evacuate Collection Set: 0.0ms
[2.441s][info][gc,phases     ] GC(20)   Evacuate Collection Set: 0.3ms
[2.441s][info][gc,phases     ] GC(20)   Post Evacuate Collection Set: 0.1ms
[2.441s][info][gc,phases     ] GC(20)   Other: 0.1ms
[2.441s][info][gc,heap       ] GC(20) Eden regions: 10->0(518)
[2.441s][info][gc,heap       ] GC(20) Survivor regions: 5->6(63)
[2.441s][info][gc,heap       ] GC(20) Old regions: 1101->1101
[2.441s][info][gc,heap       ] GC(20) Humongous regions: 87->85
[2.441s][info][gc,metaspace  ] GC(20) Metaspace: 6844K(7168K)->6844K(7168K) NonClass: 6256K(6400K)->6256K(6400K) Class: 587K(768K)->587K(768K)
[2.441s][info][gc            ] GC(20) Pause Young (Concurrent Start) (G1 Humongous Allocation) 1200M->1190M(2282M) 0.558ms
[2.441s][info][gc,cpu        ] GC(20) User=0.00s Sys=0.00s Real=0.00s
[2.441s][info][gc            ] GC(21) Concurrent Cycle
[2.441s][info][gc,marking    ] GC(21) Concurrent Clear Claimed Marks
[2.441s][info][gc,marking    ] GC(21) Concurrent Clear Claimed Marks 0.009ms
[2.441s][info][gc,marking    ] GC(21) Concurrent Scan Root Regions
[2.441s][info][gc,marking    ] GC(21) Concurrent Scan Root Regions 0.027ms
[2.441s][info][gc,marking    ] GC(21) Concurrent Mark (2.441s)
[2.441s][info][gc,marking    ] GC(21) Concurrent Mark From Roots
[2.441s][info][gc,task       ] GC(21) Using 3 workers of 3 for marking
[2.443s][info][gc,marking    ] GC(21) Concurrent Mark From Roots 1.488ms
[2.443s][info][gc,marking    ] GC(21) Concurrent Preclean
[2.443s][info][gc,marking    ] GC(21) Concurrent Preclean 0.060ms
[2.443s][info][gc,marking    ] GC(21) Concurrent Mark (2.441s, 2.443s) 1.578ms
[2.443s][info][gc,start      ] GC(21) Pause Remark
[2.443s][info][gc,stringtable] GC(21) Cleaned string and symbol table, strings: 2624 processed, 0 removed, symbols: 25587 processed, 0 removed
[2.443s][info][gc            ] GC(21) Pause Remark 1196M->1196M(2282M) 0.412ms
[2.443s][info][gc,cpu        ] GC(21) User=0.00s Sys=0.00s Real=0.00s
[2.443s][info][gc,marking    ] GC(21) Concurrent Rebuild Remembered Sets
[2.444s][info][gc,marking    ] GC(21) Concurrent Rebuild Remembered Sets 0.985ms
[2.444s][info][gc,start      ] GC(21) Pause Cleanup
[2.444s][info][gc            ] GC(21) Pause Cleanup 1199M->1199M(2282M) 0.211ms
[2.444s][info][gc,cpu        ] GC(21) User=0.00s Sys=0.00s Real=0.00s
[2.444s][info][gc,marking    ] GC(21) Concurrent Cleanup for Next Mark
[2.445s][info][gc,marking    ] GC(21) Concurrent Cleanup for Next Mark 0.669ms
[2.445s][info][gc            ] GC(21) Concurrent Cycle 4.133ms
[2.449s][info][gc,start      ] GC(22) Pause Young (Concurrent Start) (G1 Humongous Allocation)
[2.449s][info][gc,task       ] GC(22) Using 13 workers of 13 for evacuation
[2.450s][info][gc,phases     ] GC(22)   Pre Evacuate Collection Set: 0.0ms
[2.450s][info][gc,phases     ] GC(22)   Evacuate Collection Set: 0.4ms
[2.450s][info][gc,phases     ] GC(22)   Post Evacuate Collection Set: 0.1ms
[2.450s][info][gc,phases     ] GC(22)   Other: 0.1ms
[2.450s][info][gc,heap       ] GC(22) Eden regions: 21->0(472)
[2.450s][info][gc,heap       ] GC(22) Survivor regions: 6->9(66)
